link;comentarios;data_comentario
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;"DataFoice e Rede Glóbulo, fazendo pesquisa sobre um governo que está acabando com suas mamatas? Alguém aqui acredita em Coelhinho da Páscoa e em Papai Noel? Não adianta, vocês não tem credibilidade e nunca mais irão manipular o povo novamente. Pra os comunosocialistas que estão achando ruim o governo, temos duas situações, uma é mudar para algum país comunosocialista e viver as ""beneces"" do regime. Outra, é que nem todo remédio é doce.";2019-12-08T12:00:38
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;kkkk, data falha? segundo as pesquisas deles, o presidente é o poste. Kkkkk;2019-12-08T12:03:48
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Eu quero que o Luis Inácio e o Bozo vão praspu/tas que ospariram!;2019-12-08T12:03:40
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;"Pesquisa Datafolha ??? E será que ainda acham que alguém  acredita nas pesquisam que publicam ??? 
Ô Datafolha....., vá te catar !!";2019-12-08T12:03:16
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;ENQUETE: Quem REPROVA o governo BoIsonaro, aperta o VERDE (dedinho para cima). Quem APROVA, aperta o vermelho (dedinho para baixo).;2019-12-08T11:19:39
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Antes que alguém reclame da sequência (reprova---> aprova), é a mesma adotada pela matéria para não haver confusão.;2019-12-08T11:20:58
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Vc dá muito écú, seumerda;2019-12-08T11:30:15
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;ENQUETE : QUEM tá arrependido de ter votado no Jair Bozo , levanta a mão !;2019-12-08T11:51:48
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Quem gosta do PT senta no polegar prá cima! ;2019-12-08T12:00:13
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;KKKKKKKKKKKKK;2019-12-08T12:03:09
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;30% dos brasileiros são gado. Se todo esse gado fosse abatido, o preço da carne diminuiria...;2019-12-08T11:17:14
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Direitopatas desgraçados.;2019-12-08T11:34:51
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Paulo Campos, tem que jogar fora os miolos desse gado e aproveitar o resto;2019-12-08T11:55:50
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Este instituto de pesquisa não serve pra nada. Tanto é que não acertou o resultado da última eleição. ;2019-12-08T12:02:47
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Já estava previsto, o perverso e atrapalhado governo brasileiro descer ladeira abaixo, ainda +++++++ deixando salário mínimo: mínimo possível/2020. VERGONHA!!!!!!!!!!!!!!!!!!!!!!!!!!!!;2019-12-08T12:02:28
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Esse monte de robozinhos comentando não funciona mais, a maioria das pessoas que reclamam deste governo votou nele. ;2019-12-08T12:02:18
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Ainda  tem gente  que aprova esse louco ;2019-12-08T11:38:03
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Com esse nome Giovandro você deve reprovrar a si mesmo. JB 2022;2019-12-08T12:00:27
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Pelo jeito, muita gente mesmo apoia. Se nem o datafalha consegue dar más noticias, é pq a coisa tá feia para as hienas. ;2019-12-08T12:02:03
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;kkkkk data folha sendo data folha ....... se 36 reprovam obviamente 100-36  não seria  64 redator do cacete ?;2019-12-08T11:53:02
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;36+32=68% NÃO;2019-12-08T12:01:49
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;"Não precisando compartilhar o ar com qualquer subespécie
de E S Q U E R D A está bom demais da conta!";2019-12-08T12:01:35
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Pesquisa feita com padrão Najila Trindade de confiabilidade. ;2019-12-08T11:45:50
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;30%..... gostaram da reforma da previdência para os civis, e o AUMENTO GORDO para o militares?;2019-12-08T12:00:57
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;"- 761 mil empregos formais
- Queda recorde de homicídios,mais de 8mil vidas salvas.
- Recorde de apreensão de drogas
- Juros em mínima histórica de 5
 - Menor inflação desde 1998
 - Taxa Selic mínima histórica
-13 do Bolsa Família com o combate a fraude no bolsa família
-Lei para uso e venda de bens apreendidos do tráficodedrogas.
 - MPdo pente-fino doINSS,  economia de 10bi por ano.";2019-12-08T11:31:01
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Tenta outra zezé (nome estranho para um robô) ;2019-12-08T12:00:10
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;"- Extinção do sigilo das operações do BNDES,CaixaeBB - Redução de 29 para 22ministérios; - Extinção de 21 mil cargos comissionados - extinção da taxaSindical - redução de 18% para zero os impostos para importação de medicamentos de câncereHiv..";2019-12-08T12:00:36
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;O data folha tem a mesma confiabilidade de quem esta dando a noticia!;2019-12-08T12:00:03
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Está reeleito! Aposto com quem quiser. ;2019-12-08T10:45:17
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Marcus para sua decepção Bolso até 2026;2019-12-08T11:31:00
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Eu aposto 1 salário mínimo que queme termina o mandato é o Mourão, que por sinal anda sumido. ;2019-12-08T12:00:02
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;regular para mim conta como aprovação ou não?;2019-12-08T11:53:14
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Pra vc que só passava com 6 na escola deve ser aprovação sim! ;2019-12-08T11:55:16
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;REGULAR É NÃO!!!!;2019-12-08T11:59:57
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;A Datafalha não tem nenhuma credibilidade, mas ainda assim não tem nem coragem mais de jogar dados estapafurdios dado a popularidade óbvia do presidente. ;2019-12-08T11:59:49
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;O que afundou o Brasil foi o povinho que ta reclamando agora sem admitir que foram seus representantes os responsáveis por tudo isso.  E ainda querem que os bandidos voltem ao poder pra arrumar o que eles mesmos destruíram!;2019-12-08T11:59:12
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Haja capim pra alimentar 30% de bozominions alienados.;2019-12-08T11:58:48
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Tchau tchau querido sua hora vai chegar.  Aproveite a mamata  . Rico é  minoria no país.  Aguarde e confie nós iremos mostrar a força do povo que tá sofrendo.  Seus milicianos ;2019-12-08T11:49:58
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;sim em 2048  Nuna Nivre;2019-12-08T11:53:40
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Jackson , Venezuela e Cuba acabaram com os ricos , mude-se para lá ! Tem emprego a rodo ! ;2019-12-08T11:58:46
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Se formos desconsiderar os crentes, que n tem opinião própria, a aprovação ao presidente é escandalosamente baixa;2019-12-08T11:48:46
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Verdade;2019-12-08T11:58:43
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Datafolha...kkkkkkk ;2019-12-08T11:58:27
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Datafolha...kkkkkkk ;2019-12-08T11:58:27
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Me surpreende que este desgoverno do presidente bozo ainda tenha 30% de aprovação. O Brasil está piorando, além dos problemas de saúde, segurança e educação, o meio ambiente está se tornando um sério problema para o Brasil que está pagando mico internacional, e como consequência afeta o turismo.;2019-12-08T11:45:56
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;O correto é que são 62% de aprovação para o governo. Aqueles que acham o governo regular não o desaprovam, portanto não são esquerdistas, e isso já é muito positivo.;2019-12-08T11:58:21
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Comentário vazio, sem qualquer análise sensata, fotografia de um país sem conhecimento, que só sabe vir falar asneira em rede social.;2019-12-08T11:58:26
