link_noticia,titulo,data_hora,tags
https://g1.globo.com/bemestar/noticia/2019/12/03/regulamentacao-de-produtos-a-base-de-cannabis-no-brasil.ghtml,Cannabis medicinal no Brasil: veja o que muda com as novas regras da Anvisa, 03/12/2019 15h42 ,Bem Estar
https://g1.globo.com/educacao/noticia/2019/12/03/relatorio-da-cgu-aponta-irregularidades-em-licitacao-do-programa-escola-conectada.ghtml,Relatório da CGU aponta irregularidades em licitação do Programa Educação Conectada, 03/12/2019 19h36 ,Educação
https://g1.globo.com/politica/noticia/2019/12/03/segunda-turma-torna-renan-calheiros-reu-por-corrupcao-e-lavagem-na-lava-jato.ghtml,Segunda Turma do STF torna Renan Calheiros réu por corrupção e lavagem de dinheiro, 03/12/2019 18h45 , MDB 
https://g1.globo.com/politica/noticia/2019/12/03/juiz-federal-homologa-delacao-de-um-dos-suspeitos-de-invadir-celulares-de-moro-e-autoridades.ghtml,Juiz federal homologa delação de um dos suspeitos de invadir celulares de Moro e autoridades, 03/12/2019 17h20 ,Política
https://g1.globo.com/pop-arte/musica/noticia/2019/12/03/anitta-e-outros-nomes-do-funk-falam-de-mortes-em-paraisopolis-e-relatam-experiencia-em-bailes.ghtml,Anitta e outros nomes do funk falam de mortes em Paraisópolis e relatam experiência em bailes, 03/12/2019 18h25 ,Pop & Arte
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/12/03/mprj-denuncia-por-homicidio-qualificado-policial-militar-acusado-de-matar-menina-agatha-felix-no-alemao.ghtml,MPRJ denuncia por homicídio qualificado PM acusado de matar menina Ágatha Felix no Alemão , 03/12/2019 14h27 , Rio de Janeiro 
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml,"36% reprovam e 30% aprovam o governo Bolsonaro, diz Datafolha", 08/12/2019 09h19 , Jair Bolsonaro 
https://g1.globo.com/economia/agronegocios/globo-rural/noticia/2019/12/08/carnes-de-porco-e-de-frango-acompanham-alta-nos-precos-do-boi-gordo.ghtml,Carnes de porco e de frango acompanham alta nos preços do boi gordo, 08/12/2019 08h57 , China 
https://g1.globo.com/educacao/noticia/2019/12/08/brasil-e-o-9o-pais-que-mais-envia-estudantes-aos-estados-unidos.ghtml,Brasil é o 9º país que mais envia estudantes aos Estados Unidos, 08/12/2019 05h00 ,Educação
https://g1.globo.com/mundo/noticia/2019/12/08/as-vesperas-da-posse-os-4-principais-desafios-do-proximo-presidente-da-argentina.ghtml,"Às vésperas da posse, os 4 principais desafios do próximo presidente da Argentina", 08/12/2019 09h12 , Argentina 
https://g1.globo.com/podcast/g1-ouviu/noticia/2019/12/08/g1-ouviu-67-funk-global-batidao-brasileiro-quer-ganhar-o-mundo.ghtml,G1 Ouviu #67 Funk global? Batidão brasileiro quer ganhar o mundo, 08/12/2019 06h00 ,Podcasts
https://g1.globo.com/politica/noticia/2019/10/02/stf-decide-adiar-definicao-de-regras-das-alegacoes-finais-de-reus-delatados-e-delatores.ghtml,STF decide adiar definição de regras das alegações finais de réus delatados e delatores, 02/10/2019 22h10 , STF - Supremo Tribunal Federal 
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml,Alcolumbre afirma que votação do 2º turno da Previdência pode ficar para depois do dia 15, 02/10/2019 17h04 , Davi Alcolumbre 
https://g1.globo.com/politica/noticia/2019/10/02/previdencia-dos-militares-relator-propoe-estender-a-policias-e-bombeiros-regras-das-forcas-armadas.ghtml,Previdência de militares: relator propõe estender a policiais regras das Forças Armadas, 02/10/2019 18h58 , Câmara dos Deputados 
