link_noticia;titulo;data_hora;tags
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;Ministério Público pede a abertura de novo inquérito contra ministro do turismo por caixa dois; 09/10/2019 20h03 ; Belo Horizonte 
https://g1.globo.com/politica/noticia/2019/10/09/bolsonaro-diz-que-permanece-no-psl-e-compara-crise-no-partido-a-briga-de-marido-e-mulher.ghtml;Bolsonaro diz que permanece no PSL e compara crise no partido a 'briga de marido e mulher'; 09/10/2019 18h56 ; Jair Bolsonaro 
https://g1.globo.com/politica/noticia/2019/10/09/congresso-aprova-texto-base-da-lei-de-diretrizes-orcamentarias.ghtml;"Congresso aprova Lei de Diretrizes Orçamentárias; texto vai à sanção"; 09/10/2019 14h22 ; Câmara dos Deputados 
https://g1.globo.com/al/alagoas/noticia/2019/10/09/ibama-encontra-manchas-de-oleo-em-trecho-da-foz-do-rio-sao-francisco-em-al.ghtml;Ibama encontra manchas de óleo em trecho da foz do Rio São Francisco, em AL; 09/10/2019 12h08 ; Alagoas 
https://g1.globo.com/natureza/noticia/2019/10/08/lista-de-praias-atingidas-pelas-manchas-de-oleo-no-nordeste.ghtml;Lista de praias atingidas pelas manchas de óleo no Nordeste; 08/10/2019 13h33 ; Ibama 
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/09/trf-2-autoriza-viagem-de-temer-a-inglaterra-para-dar-palestras.ghtml;TRF-2 autoriza viagem de Temer à Inglaterra para dar palestras; 09/10/2019 18h10 ; Michel Temer 
https://g1.globo.com/politica/noticia/2019/10/09/senado-aprova-mecanismo-para-facilitar-emprestimos-a-micro-e-pequenas-empresas.ghtml;Senado aprova mecanismo para facilitar empréstimos a micro e pequenas empresas; 09/10/2019 18h28 ; Senado 
https://g1.globo.com/educacao/noticia/2019/10/09/9102019-e-palindromo-entenda-o-que-e-resolva-um-desafio-de-matematica.ghtml;9/10/2019 é palíndromo: entenda o que é, e resolva um desafio de matemática ; 09/10/2019 16h39 ;Educação
https://g1.globo.com/mundo/noticia/2019/10/09/greve-nacional-no-equador-aumenta-pressao-sobre-lenin-moreno.ghtml;Greve nacional no Equador aumenta pressão sobre Lenín Moreno; 09/10/2019 15h31 ;Mundo
https://g1.globo.com/mundo/noticia/2019/10/09/equador-tem-diversos-focos-de-protestos-em-uma-semana-veja-mapa.ghtml;"Equador tem diversos focos de protestos em uma semana; veja mapa"; 09/10/2019 14h59 ; Equador 
