link,toxico,comentario,datahora,tipo
https://g1.globo.com/monitor-da-violencia/noticia/2019/10/03/em-sete-meses-brasil-registra-244-mil-mortes-violentas-queda-e-de-226percent-em-relacao-ao-ano-passado.ghtml,0," Passando o pacote anti crime na camara e senado so tende a  melhorar,sendo que o projeto visa combater a criminalidade e corrupcao que sao o cancer do Brasil ",2020-02-24 19:11:54,
https://g1.globo.com/politica/noticia/2019/10/09/congresso-aprova-texto-base-da-lei-de-diretrizes-orcamentarias.ghtml,0, nossa ai fica dificil...antes sobia 20 reais por anos ninguem reclamava...agora subiu 42 puts vai acabar o mundo...mas ninguem fala dos 2 bi que o Brasil teve quer pagar dia 30 divida que a venezuela fez...e o brasil ( pcc pt) foi avalista ,2020-02-24 19:42:38,
https://g1.globo.com/politica/noticia/2019/10/09/bolsonaro-diz-que-permanece-no-psl-e-compara-crise-no-partido-a-briga-de-marido-e-mulher.ghtml,0, Até quando ele vai comparar tudo a um casamento ou relacionamento amoroso?  Cara sem cultura ,2020-02-24 19:42:42,
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/10/camara-adia-votacao-sobre-aplicativos-de-transportes-no-rio-protesto-de-taxistas-tem-tumulto.ghtml,0, 99 nunca mais! Usei o 99 para pagar com cartão de crédito e o taxista ao final da viagem disse que não trabalhava com cartão. Pedi ao  99 o descredenciamento do mesmo e foi negado. Absurdo!! Fora 99!!! ,2020-02-24 19:42:46,
https://g1.globo.com/economia/noticia/2019/10/10/venezuela-nega-responsabilidade-por-petroleo-em-praias-do-brasil.ghtml,0, Já foi confirmado pela UFBA que é óleo venezuelano ... provavelmente foi despejado por algum navio. ,2020-02-24 19:42:49,
https://g1.globo.com/mundo/noticia/2019/12/08/as-vesperas-da-posse-os-4-principais-desafios-do-proximo-presidente-da-argentina.ghtml,0, Kkkkkkk! Novo Evo! Dou 1 mes pra ser caçado! Kkkk ,2020-02-24 19:42:52,
https://g1.globo.com/mundo/noticia/2019/10/10/governo-dos-eua-desiste-de-apoio-a-brasil-na-ocde-diz-agencia.ghtml,1," Bozo fez o Brasil ABDICAR DE PRIVILÉGIOS COMERCIAIS NA OMC só para ser subserviente ao Trump. Por exemplo, a Coreia do sul, muito mais desenvolvida que o Brasil, utiliza esses privilégios. E o que o Brasil, um país pobre, faria na OCDE? Teria é que arcar com custos e despesas maiores. Bozo, além de envergonhar o Brasil, é um DESPREPARADO TOTAL, um MA LU CO que rasteja para o Trump. ",2020-02-24 19:42:56,Insulto
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/09/trf-2-autoriza-viagem-de-temer-a-inglaterra-para-dar-palestras.ghtml,0, O crime organizado mostra sua cara e prova que a justiça é um boneco de massa. Ninguém mais acredita nesta farsa que é a justiça. ,2020-02-24 19:43:13,
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/30/bolsonaro-reage-a-reportagem-do-jn-e-nega-ter-autorizado-entrada-de-acusado-de-matar-marielle-em-condominio-no-dia-do-crime.ghtml,0," Então, o filme ""Tropa de Elite 2"" não é ficção... ",2020-02-24 19:43:16,
https://g1.globo.com/ba/bahia/noticia/2019/10/10/analise-da-ufba-aponta-que-oleo-que-atinge-litoral-do-ne-e-da-venezuela.ghtml,0," Arrasou, Marcelo!  ",2020-02-24 19:43:18,
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/29/suspeito-da-morte-de-marielle-se-reuniu-com-outro-acusado-no-condominio-de-bolsonaro-antes-do-crime-ao-entrar-alegou-que-ia-para-a-casa-do-presidente-segundo-porteiro.ghtml,0, QUEM NÃO SABIA QUE O PRESIDENTE É MILICIANO. ,2020-02-24 19:43:21,
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/30/audio-mostra-que-ronnie-lessa-liberou-a-entrada-de-elcio-de-queiroz-em-condominio-no-dia-do-assassinato-de-marielle-diz-mp.ghtml,0," Ninguém quer saber de Marielle, só querem mesmo é detonar o Bozo. ",2020-02-24 19:43:25,
https://g1.globo.com/politica/noticia/2019/10/21/mourao-maximo-que-governo-pode-fazer-e-ter-gente-para-recolher-oleo-no-litoral-nordestino.ghtml,1," fora mourão , fora bozo ! ",2020-02-24 19:43:28,Outros
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/29/suspeito-da-morte-de-marielle-se-reuniu-com-outro-acusado-no-condominio-de-bolsonaro-antes-do-crime-ao-entrar-alegou-que-ia-para-a-casa-do-presidente-segundo-porteiro.ghtml,0," O Leão Banguelim está desesperado, sabe que o cometa está prestes a ser enterrado no dele. Agora resta saber o que a PGR e o Ministro da Justiça Caolha tem a dizer desses escândalos diários.  ",2020-02-24 23:44:44,
https://g1.globo.com/politica/noticia/2019/10/30/bolsonaro-diz-que-witzel-lhe-contou-no-dia-9-de-outubro-sobre-o-envolvimento-no-caso-marielle.ghtml,0," E o celso daniel, quando vamos ter uma investigacao por parte da midia? ",2020-02-24 23:44:48,
https://g1.globo.com/natureza/noticia/2019/10/06/papa-francisco-diz-que-amazonia-precisa-do-fogo-do-amor-e-nao-do-fogo-ateado-por-interesses-que-destroem.ghtml,0, Pra se preocupar com o proximo ,2020-02-24 23:44:51,
https://g1.globo.com/politica/blog/andreia-sadi/post/2019/10/04/proposta-de-maia-e-de-grupo-do-pacote-anticrime-preve-investigacao-de-milicias-pela-pf.ghtml,0, acho que você não entendeu nada.  ,2020-02-24 23:44:54,
https://g1.globo.com/monitor-da-violencia/noticia/2019/10/03/em-sete-meses-brasil-registra-244-mil-mortes-violentas-queda-e-de-226percent-em-relacao-ao-ano-passado.ghtml,0, Se publicaram 23 é porque é uns 40%! ,2020-02-24 23:44:59,
https://g1.globo.com/natureza/noticia/2019/10/06/papa-francisco-diz-que-amazonia-precisa-do-fogo-do-amor-e-nao-do-fogo-ateado-por-interesses-que-destroem.ghtml,0," REZEM PARA O PAPA, POIS QUE SEGUE OS ENSINAMENTOS DO EDIDI E DO VALVAL ESTAO SEGUINDO O DEMÔNIO. O PARA É O ÚNICO QUE REPRESENTA O AMOR DE DEUS NA TERRA. ",2020-02-24 23:45:04,
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/30/policia-chega-ao-predio-do-casal-garotinho-para-cumprir-mandado-de-prisao.ghtml,0, São inocentes ,2020-02-24 23:45:07,
https://g1.globo.com/mundo/noticia/2019/10/21/manifestantes-voltam-as-ruas-em-santiago-no-chile.ghtml,0," Errado Oscar filho, nós não somos o resultado das circunstancias. Nós somo o resultado do que somos por dentro. A paz não está fora nas circunstancias, está dentro de nós mesmos. ",2020-02-24 23:45:10,
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml,0, Será o primeiro governo em anos que não irá se reeleger com essa política de entreguismo! ,2020-02-24 23:45:14,
https://g1.globo.com/politica/noticia/2019/10/09/congresso-aprova-texto-base-da-lei-de-diretrizes-orcamentarias.ghtml,0," Ebaaaa....Salario Minimo vai aumentar para a casa dos MIL.. hein!!!!  Agora vamos ficar Rico mesmo né?? Tem o projeto de Lei em 2019, Que vai isentar o Imposto de Renda aos beneficiário Aposentados a partir dos 60 anos de idade, para quem recebe até o limite do teto ou seja 5.800,00. ISENTÃO.
tô gostando hein...!!! Tem mais? Vai baixar o combustível, o transporte publico?  Vai tirar  as regalias como carro publico, transporte aéreo,  etc.etc?. A sociedade paga impostos altíssimos em retorno a; Educação,Segurança,Saúde,Transportes públicos (Busão ou trenzinho do encoxa saia),  ",2020-02-24 23:45:21,
https://g1.globo.com/economia/noticia/2019/10/21/bovespa.ghtml,1, a regra e clara noticia do crescimento do pais p3t3b4 some fofoca p3t3b4 aparece  ,2020-02-24 23:45:36,Outros
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/29/suspeito-da-morte-de-marielle-se-reuniu-com-outro-acusado-no-condominio-de-bolsonaro-antes-do-crime-ao-entrar-alegou-que-ia-para-a-casa-do-presidente-segundo-porteiro.ghtml,1, Os gado velho estão pirando e agora sim estão fazendo mu mu e gados velho cuidado com o chifre  ,2020-02-24 23:45:50,Insulto
https://g1.globo.com/politica/noticia/2019/10/30/bolsonaro-diz-que-witzel-lhe-contou-no-dia-9-de-outubro-sobre-o-envolvimento-no-caso-marielle.ghtml,1, Cana*lhas !!! ,2020-02-24 23:46:13,Outros
https://g1.globo.com/mundo/noticia/2019/10/08/equador-transfere-sede-do-governo-de-quito-para-guaiaquil-anuncia-presidente-lenin-moreno.ghtml,0," E tem mais: quanto mais barato o diesel, menor o gasto do produtor rural e mais dinheiro fica no seu bolso. Quanto mais sobe, mais dinheiro sai do seu bolso para os investidores de NY. É como se fosse um imposto dos EUA. ",2020-02-25 00:04:25,
https://g1.globo.com/mundo/noticia/2019/10/10/governo-dos-eua-desiste-de-apoio-a-brasil-na-ocde-diz-agencia.ghtml,1, Grande dia ! só noticias ruins para o Bozo e amanha será o grande dia de furia e inveja dele...nobel para o cidadão que ele odeia kkkkkkk grande sexta feira Bozo kkkkk ,2020-02-25 00:08:27,Insulto
